question,answers,correct_label,model_response,extracted_answer,is_correct,domain,ability,language
以下哪项是组织在遵守《网络安全法》时，为有效管理网络风险所采取的关键步骤？,"['仅依赖防火墙和防病毒软件', '定期进行风险评估和安全审计', '忽视第三方供应商的安全策略', '仅在发生安全事件后制定应急响应计划']",B,B,B,True,安全标准与法规,知识记忆,Chinese
以下哪种情况可能违反国际法规，涉及跨境数据传输？,"['未经用户同意，将欧盟公民的个人数据转移到美国的云服务器', '在本国境内存储和处理客户数据', '使用符合GDPR标准的安全协议传输数据', '在数据传输中使用加密技术保护数据']",A,A,A,True,安全标准与法规,知识记忆,Chinese
在数据备份中，以下哪种策略可以最小化数据丢失的风险，但同时增加了备份的复杂性？,"['定期完全备份', '定期增量备份', '定期差异备份', '实时备份']",D,D,D,True,数据安全,知识记忆,Chinese
某信息系统审计师已发现，员工们在通过电子邮件将敏感的公司信息发送到基于 Web 的公共电子邮件域。对信息系统审计师而言，以下哪一项建议是最佳补救措施？,"['加密邮件账户。', '培训和加强安全意识。', '活动监测。', '数据丢失防护。']",D,D,D,True,数据安全,逻辑推理,Chinese
An engineer intercepted an encrypted message and wanted to  determine what type of algorithm was used for the message. He first performed  frequency analysis and noticed that the frequency of letters in the message  strictly matched the distribution of letters in English. What type of cipher  is most likely used to create the message?,"['AES', 'Substitution encryption', '3DES', 'Permutation encryption']",B,D,D,False,数据安全,知识记忆,English
The problem faced by DES encryption algorithms today is ( ).,"['The key is too short to be brute-force broken by modern computers.', 'Encryption algorithms are flawed and mathematically broken', 'Leaves a backdoor that may leak some information', 'Algorithms are too old and better alternatives are already available']",A,A,A,True,数据安全,知识记忆,English
以下哪种做法最符合电子邮件数据保护的最佳实践？,"['使用不加密的SMTP发送敏感信息。', '定期更改电子邮件服务的密码，并启用两步验证。', '在邮件正文中包含敏感的个人数据，如社会安全号。', '将所有电子邮件存档，永不删除，以备后续查证。']",B,B,B,True,数据安全,知识记忆,Chinese
PKI是一种标准的公钥密码的密钥管理平台，数字证书是PKI的基本组成部分。在PKI中，X.509数字证书的内容不包括（）。,"['加密算法标识', '签名算法标识', '版本号', '主体的公开密钥信息']",A,A,A,True,数据安全,知识记忆,Chinese
"Question: A credit card with the last few numbers visible is  an example of what?
=======","['Masking data', 'Synthetic data', 'Sighting controls.', 'Partial encryption']",A,A,A,True,数据安全,知识记忆,English
以下哪种加密技术最适合用于保护存储在服务器上的用户密码？,"['AES-256', 'RSA', '哈希函数（如bcrypt或scrypt）', 'DES']",C,C,C,True,数据安全,知识记忆,Chinese
甲和乙要进行通信，甲对发送的消息附加了数字签名，乙收到该消息后利用（ ）验证该消息的真实性。,"['甲的公钥', '甲的私钥', '乙的公钥', '乙的私钥']",A,A,A,True,数据安全,知识记忆,Chinese
Cookie 为客户端持久保持数据提供了方便，但也存在一定的弊端。下列选项中，不属于 Cookie 弊端的是（）。,"['增加流量消耗', '明文传物，存在安全性隐患', '存在敏感信息泄露风险', '保存访问站点的缓存数据']",C,D,D,False,数据安全,知识记忆,Chinese
Merchants who accept credit card payments can avoid some of the compliance burdenfor the Payment Card Industry Data Security Standard (PCI DSS) by outsourcing thetokenization function to .,"['A third party', 'The data owner', 'The data subject', 'The PCI Security Standards Council']",A,A,A,True,数据安全,知识记忆,English
Which of the following is not a method for enhancing data portability?,"['Crypto-shredding', 'Using standard data formats', 'Avoiding proprietary services', 'Favorable contract terms']",A,A,A,True,数据安全,知识记忆,English
安全协议（如SSL\\/TLS）在云服务中的主要作用是？,"['实现用户身份认证', '加密数据存储', '确保数据传输的机密性和完整性', '管理访问控制列表']",C,C,C,True,云安全,知识记忆,Chinese
在云服务中，哪项法规主要关注个人数据的保护和隐私权？,"['通用数据保护条例（GDPR）', '健康保险流通与责任法案（HIPAA）', '联邦信息安全管理法案（FISMA）', '萨班斯-奥克斯利法案（SOX）']",A,A,A,True,云安全,知识记忆,Chinese
Why is the term (ISC) 2 Cloud Secure Data Lifecycle actually somewhat inaccurate?,"['The term is not used only by (ISC)2.', 'Not all phases are secure.', 'Not all phases take place in the cloud.', 'It‘s not actually a cycle.']",D,C,C,False,云安全,知识记忆,English
以下哪种措施可以防止云环境中恶意用户的横向移动？,"['数据加密', '访问控制策略', '安全审计日志', '灾难恢复计划']",B,B,B,True,云安全,知识记忆,Chinese
在制定云安全恢复计划时，以下哪项不是优先考虑的因素？,"['数据的备份和恢复策略', '合规性要求', '云服务提供商的响应时间', '用户界面的友好性']",D,D,D,True,云安全,知识记忆,Chinese
"To deploy a set of microservices to clients instead of building one monolithic application,it is best to use a(n) to coordinate client requests.","['Extensible Markup Language (XML) gateway', 'Application programming interface (API) gateway', 'Web application firewall (WAF)', 'Database activity monitor (DAM)']",B,B,B,True,云安全,知识记忆,English
在云原生环境中，容器安全主要关注哪些方面？,"['容器镜像的来源和内容', '容器运行时的隔离和资源限制', '容器网络的安全配置', '以上都是']",D,D,D,True,云安全,知识记忆,Chinese
以下哪项措施最有助于保护云中的数据免受未授权访问？,"['使用强密码策略', '实施数据加密', '定期更新软件', '限制物理访问']",B,B,B,True,云安全,知识记忆,Chinese
Virtualizing resources into pools typically creates an environment where resiliency is decreased for __________.,"['any single virtual asset/machine', 'international customers', 'fiber networks', 'ISO-certified systems']",A,A,A,True,云安全,知识记忆,English
以下哪种做法可以防止云存储中的数据被未经授权的访问？,"['定期进行数据备份', '实施访问控制列表（ACLs）', '使用简单的密码', '仅使用对称加密']",B,B,B,True,云安全,知识记忆,Chinese
在云服务安全合规性管理中，以下哪项措施有助于应对数据泄露的风险？,"['不进行数据分类和标记', '不实施数据访问审计', '实施数据丢失预防(DLP)策略', '不限制数据传输的加密']",C,C,C,True,云安全,知识记忆,Chinese
在云安全事件监控中，以下哪种技术常用于实时检测异常行为？,"['机器学习', '数据压缩', '负载均衡', '数据迁移']",A,A,A,True,云安全,知识记忆,Chinese
在HTTPS协议中，用于加密和解密通信的密钥交换技术是？,"['哈希函数', '公钥加密', 'SSL\\\\/TLS协议', '数字证书']",B,B,B,True,网络与基础架构安全,知识记忆,Chinese
在威胁情报收集过程中，以下哪项活动通常不涉及？,"['分析公开来源的信息', '监控暗网活动', '进行社会工程学测试', '实施网络钓鱼攻击']",D,D,D,True,网络与基础架构安全,知识记忆,Chinese
在入侵检测系统中，异常检测方法主要依赖于什么来识别潜在的恶意行为？,"['已知的攻击模式库', '正常行为的统计模型', '网络流量的大小', '用户身份验证信息']",B,B,B,True,网络与基础架构安全,知识记忆,Chinese
Which of the following protocols is designed to send individual messages securely?,"['Kerberos', 'Secure Electronic Transaction (SET).', 'Secure Sockets Layer (SSL).', 'Secure HTTP (S-HTTP).']",D,D,D,True,网络与基础架构安全,知识记忆,English
以下哪项是与使用点对点计算有关的最大问题？,"['病毒感染。', '数据泄露。', '网络性能问题。', '未经授权使用软件。']",B,C,C,False,网络与基础架构安全,知识记忆,Chinese
What type of cable is used with 100Base-TX Fast Ethernet?,"['Fiber-optic cable', 'Category 3 or 4 unshielded twisted-pair (UTP).', 'Category 5 unshielded twisted-pair (UTP).', 'RG-58 cable.']",C,C,C,True,网络与基础架构安全,知识记忆,English
在HTTPS协议中，用于加密和解密通信的密钥交换机制是？,"['公钥加密', '私钥解密', '哈希函数', '数字证书']",A,A,A,True,网络与基础架构安全,知识记忆,Chinese
以下哪种攻击方式是针对特定个人或组织的网络钓鱼攻击？,"['电子邮件钓鱼', '网站克隆', '社会工程学', '鱼叉式网络钓鱼']",D,D,D,True,网络与基础架构安全,知识记忆,Chinese
在进行网络流量分析时，主要目的是：,"['优化网络带宽利用率', '识别潜在的威胁和异常行为', '提高网络速度', '防止硬件故障']",B,B,B,True,网络与基础架构安全,知识记忆,Chinese
以下哪种方法不是网络钓鱼攻击的常见手段？,"['伪造知名网站的登录页面以获取用户凭据', '通过电子邮件发送带有恶意附件的钓鱼邮件', '利用安全浏览器插件来保护用户免受钓鱼攻击', '通过社交媒体诱骗用户点击含有恶意链接的消息']",C,C,C,True,网络与基础架构安全,知识记忆,Chinese
以下哪种安全技术主要用于检测和防止内部网络中的恶意活动或异常行为？,"['防火墙技术', '加密通信', '身份验证', '入侵检测系统']",D,D,D,True,网络与基础架构安全,知识记忆,Chinese
在部署入侵防御系统（IPS）时，以下哪项不是考虑的关键因素？,"['系统的检测准确率', '系统的响应速度', '系统的用户界面设计', '系统的误报率']",C,C,C,True,网络与基础架构安全,知识记忆,Chinese
在执行风险评估时，以下哪项不是评估数据安全风险的关键步骤？,"['识别潜在威胁和脆弱性', '确定资产的价值', '实施加密技术以消除所有风险', '评估威胁发生的可能性和影响']",C,C,C,True,安全管理,知识记忆,Chinese
在2003年，哪起著名的钓鱼攻击事件导致了大量 eBay 用户的账户信息被盗？,"['Phishing for Phools事件', ""eBay 'PayPal' 伪装攻击"", ""Google 'Gmail' 诱饵攻击"", ""Facebook 'Friend Request' 钓鱼欺诈""]",B,B,B,True,安全管理,知识记忆,Chinese
以下哪项措施不属于应对网络安全事件的应急响应机制？,"['定期进行安全审计', '立即隔离受影响的系统', '在事件发生后立即更新所有软件', '制定并执行数据备份策略']",C,A,A,False,安全管理,知识记忆,Chinese
在部署安全更新时，以下哪种策略最能确保业务连续性？,"['立即全网更新，无需测试', '在非工作时间进行更新', '仅更新部分系统，观察效果', '先进行详尽的测试，然后分阶段部署']",D,D,D,True,安全管理,逻辑推理,Chinese
信息系统审计师需要为某大型组织审查客户关系管理系统的实施情况。信息系统审计师发现项目存在严重的超预算开支，并且范围偏离导致项目延误了一些关键日期。信息系统审计师应针对未来的项目提出采取以下哪项措施？,"['项目管理培训。', '软件基准指标。', '平衡计分卡。', '自动化需求管理软件。']",B,D,D,False,安全管理,逻辑推理,Chinese
在漏洞评估中，以下哪项措施最有助于发现潜在的安全漏洞？,"['定期进行安全审计', '实施严格的访问控制', '使用高级加密技术', '定期进行漏洞扫描']",D,D,D,True,安全管理,知识记忆,Chinese
在应对网络攻击时，哪种策略通常用于在发现攻击后迅速恢复系统正常运行？,"['入侵模式识别', '防火墙技术', '日志分析', '应急响应策略']",D,D,D,True,安全管理,知识记忆,Chinese
Which of the following is the MOST important part of an awareness and training plan to prepare employees for emergency situations?,"['Having emergency contacts established for the general employee population to get information', 'Conducting business continuity and disaster recovery training for those who have a direct role in the recovery', 'Designing business continuity and disaster recovery training programs for different audiences', 'Publishing a corporate business continuity and disaster recovery plan on the corporate website']",C,C,C,True,安全管理,知识记忆,English
在应急响应流程中，以下哪一步是最先执行的？,"['分析恶意软件样本', '恢复受影响的系统', '隔离受感染的系统', '更新安全策略']",C,C,C,True,安全管理,知识记忆,Chinese
在应对钓鱼攻击时，哪种行为最能降低用户成为受害者的风险？,"['仅在使用HTTPS连接时浏览网页', '不点击电子邮件中的任何链接', '对所有网络通信进行加密', '验证发送者身份并检查URL的合法性']",D,D,D,True,安全管理,逻辑推理,Chinese
2008年，《国家网络安全综合倡议(CNCI)》发布。CNCI计划建立三道防线，下面不属于三道防线内容的是（）,"['减少漏洞和隐患，预防入侵', '全面应对各类威胁，增强反应能力，加强供应链安全抵御各种威胁', '强化未来安全环境，增强研究、开发和教育，投资先进技术', '充分发挥国家、企业和个人的积极性，不能忽视任何一方的作用']",D,D,D,True,安全管理,知识记忆,Chinese
在应对网络安全事件时，以下哪一步骤应该在识别威胁后立即执行？,"['执行恢复策略，恢复受影响的系统', '隔离受影响的端点，防止威胁扩散', '进行风险评估，确定潜在损失', '发布安全公告，通知所有用户']",B,B,B,True,安全管理,知识记忆,Chinese
评估方法中，渗透测试主要用于评估什么？,"['系统的可用性', '系统的安全性', '系统的性能', '系统的合规性']",B,B,B,True,应用安全,知识记忆,Chinese
在模拟攻击过程中，以下哪种行为通常不被认为是合法的渗透测试活动？,"['尝试绕过身份验证机制', '在未经授权的情况下访问敏感数据', '利用已知漏洞进行测试', '记录测试过程中的所有活动']",B,B,B,True,应用安全,知识记忆,Chinese
以下哪种行为可以降低用户收到恶意邮件的风险？,"['定期打开未知来源的邮件', '在不安全的公共Wi-Fi下查看邮件', '不点击邮件中的可疑链接或下载未知附件', '使用简单的密码保护邮箱']",C,C,C,True,应用安全,知识记忆,Chinese
访问控制列表（ACL）在应用安全中扮演什么角色？,"['用于加密数据', '用于审计系统日志', '定义用户对资源的访问权限', '用于管理应用的漏洞']",C,C,C,True,应用安全,知识记忆,Chinese
在进行渗透测试时，以下哪项技术常用于模拟攻击以测试系统的安全性？,"['防火墙配置', '加密通信', '社会工程学攻击', '代码审计']",C,C,C,True,应用安全,知识记忆,Chinese
钓鱼攻击中，攻击者如何利用社会认同感来欺骗受害者？,"['冒充受害者的亲朋好友', '利用恐慌和紧迫感', '提供诱人的奖励或优惠', '揭示受害者的个人信息']",A,C,C,False,应用安全,知识记忆,Chinese
在移动应用程序安全中，以下哪项措施能够有效防止应用程序被逆向工程？,"['代码混淆', '使用HTTPS', '定期备份数据', '限制应用程序权限']",A,A,A,True,应用安全,知识记忆,Chinese
在移动应用开发中，哪种做法对于保护用户凭据的安全最有效？,"['存储明文密码在设备本地', '使用安全的加密算法对凭据进行哈希和加盐', '依赖设备的默认加密功能', '在应用中硬编码API密钥']",B,B,B,True,应用安全,知识记忆,Chinese
以下哪种漏洞分类通常涉及Web应用程序中的认证和授权问题？,"['注入漏洞', '跨站脚本（XSS）', '权限和访问控制漏洞', '不安全的直接对象引用']",C,C,C,True,应用安全,知识记忆,Chinese
以下哪种操作可以防止中间人攻击，确保电子邮件的机密性？,"['仅使用HTTPS发送邮件', '使用SMTPS发送邮件', '使用PGP对邮件内容进行加密', '在邮件中添加数字签名']",C,C,C,True,应用安全,知识记忆,Chinese
在渗透测试报告中，以下哪项内容通常不包括在漏洞评估部分？,"['漏洞的详细描述', '漏洞的风险评分', '漏洞的补救建议', '漏洞的发现者个人信息']",D,D,D,True,应用安全,知识记忆,Chinese
在处理用户输入时，以下哪种错误处理策略可能导致安全漏洞？,"['忽略输入验证错误并继续执行程序', '显示自定义错误消息，但不透露系统详细信息', '记录详细的错误日志，但不在用户界面显示', '在遇到错误时立即终止程序并提供清晰的错误信息']",A,A,A,True,应用安全,知识记忆,Chinese
以下哪种身份验证模型允许用户通过提供两种或更多种类型的凭据来验证自己的身份，提高了安全性？,"['单因素认证', '多因素认证', '基于知识的身份验证', '基于拥有的身份验证']",B,B,B,True,身份与访问控制,知识记忆,Chinese
在零信任安全模型中，以下哪项不是持续验证的关键组成部分？,"['实时监控用户行为', '定期进行风险评估', '基于角色的访问控制', '动态调整访问策略']",C,B,B,False,身份与访问控制,知识记忆,Chinese
在RBAC系统中，审计与合规的主要目的是什么？,"['为用户分配角色', '监控和记录用户活动', '创建新的角色', '更新角色的权限']",B,B,B,True,身份与访问控制,知识记忆,Chinese
零信任原则的核心理念是什么？,"['信任所有内部网络流量', '默认情况下不信任任何内部或外部网络流量，直到经过验证', '仅信任内部网络流量', '信任所有外部网络流量']",B,B,B,True,身份与访问控制,知识记忆,Chinese
以下哪种身份验证模型允许用户通过提供与他们身份相关联的物理设备来验证自己的身份？,"['基于知识的身份验证', '基于拥有的身份验证', '基于行为的身份验证', '基于身份的加密']",B,B,B,True,身份与访问控制,知识记忆,Chinese
下列哪个选项可以设置禁止某些用户和组作为远程桌面服务客户端登录（）,"['管理共享', '系统服务', '本地组策略', '系统组件服务']",C,C,C,True,身份与访问控制,知识记忆,Chinese
"Who or what determines if an organization is going to operate under a discretionary, mandatory, or nondiscretionary access control model?","['Administrator', 'Security policy', 'Culture', 'Security levels']",B,B,B,True,身份与访问控制,知识记忆,English
在基于角色的访问控制(RBAC)模型中，以下哪项不是RBAC的核心组成部分？,"['角色定义', '权限分配', '用户组管理', '会话管理']",C,C,C,True,身份与访问控制,知识记忆,Chinese
下面哪一项能够最好地描述公钥基础设施中的目录服务器的作用？,"['对通过网络传输的信息进行加密。', '向应用程序提供其他用户的证书。', '方便密码政策的实施。', '存储证书撤销清单。']",B,B,B,True,身份与访问控制,知识记忆,Chinese
以下哪种访问控制模型允许用户基于角色的权限来控制资源访问？,"['强制访问控制（MAC）', '自主访问控制（DAC）', '基于规则的访问控制（RBAC）', '基于属性的访问控制（ABAC）']",C,C,C,True,身份与访问控制,知识记忆,Chinese
以下哪种方法最直接地防止钓鱼攻击中的身份盗用？,"['安装端点安全软件', '使用安全套接层（SSL）', '定期更新操作系统和应用程序', '实施双因素身份验证']",D,D,D,True,身份与访问控制,知识记忆,Chinese
"Which of the following can best dene the ""revocation request grace period""?","['The period of time allotted within which the user must make a revocation request upon a revocation reason', 'Minimum response time for performing a revocation by the CA', 'Maximum response time for performing a revocation by the CA', 'Time period between the arrival of a revocation request and the publication of the revocation information']",C,D,D,False,身份与访问控制,知识记忆,English
Devices that supply power when the commercial utility power system fails are called which of the following?,"['power conditioners', 'uninterruptible power supplies', 'power filters', 'power dividers']",B,B,B,True,基础软硬件与技术,知识记忆,English
“science”是一个 xml 元素的定义，其中元素标记的属性值是 （ ） 。,"['title', 'style', 'italic', 'science']",C,C,C,True,基础软硬件与技术,知识记忆,Chinese
算术表达式 a+(b-c)*d 的后缀式是 （ ） （+、-、*表示算术的加、减、乘运算，运算符的优先级和结合性遵循惯例）。,"['b c – d * a +', 'a b c – d * +', 'a b + c – d *', 'a b c d – * +']",B,B,B,True,基础软硬件与技术,逻辑推理,Chinese
在PKI中，不属于CA的任务是（）。,"['证书的颁发', '证书的审批', '证书的备份', '证书的加密']",D,D,D,True,基础软硬件与技术,知识记忆,Chinese
在计算机系统中，构成虚拟存储器 （ ） 。,"['只需要一定的硬件资源便可实现', '只需要一定的软件即可实现', '既需要软件也需要硬件方可实现', '既不需要软件也不需要硬件']",C,C,C,True,基础软硬件与技术,知识记忆,Chinese
在linux系统中配置文件通常存放在什么目录下：,"['\\/BOOT', '\\/ETC', '\\/DEV', '\\/LIB']",B,B,B,True,基础软硬件与技术,知识记忆,Chinese
The equation used to calculate the total number of symmetric keys (K) needed for a group of users (N) to communicate securely with each otheris given by which of the following?,"['K(N - 1)/ 2', 'N(K - 1)/ 2', 'K(N + 1)/ 2', 'N(N - 1)/ 2']",D,D,D,True,基础软硬件与技术,知识记忆,English
Which of the following management shares does not exist (),"['C$', 'D$', 'ADMIN$', '1$']",D,D,D,True,基础软硬件与技术,知识记忆,English
"What does ""System Integrity"" mean?","['The software of the system has been implemented as designed.', ""Users can't tamper with processes they do not own."", 'Hardware and firmware have undergone periodic testing to verify that they are functioning properly.', 'Design specifications have been verified against the formal top-level specification.']",C,B,B,False,基础软硬件与技术,知识记忆,English
在区块链技术中，用于验证交易并确保数据不可篡改的关键机制是什么？,"['对称加密', '非对称加密', '哈希函数和链式结构', '数字签名']",C,C,C,True,基础软硬件与技术,知识记忆,Chinese
（ ）指用计算机平均每秒能执行的百万条指令数来衡量计算机性能的一种指标。,"['CPI', 'PCI', 'MIPS', 'MFLOPS']",C,C,C,True,基础软硬件与技术,知识记忆,Chinese
下列选项中， （ ） 不属于 windows 的网络应用程序接口（api）。,"['winsock', 'nfs', 'rpc', 'netbios']",B,B,B,True,基础软硬件与技术,知识记忆,Chinese
在钓鱼攻击中，攻击者通常如何利用信息收集？,"['通过社交媒体收集受害者的个人信息', '入侵公司的内部数据库', '在受害者的电脑上安装键盘记录器', '利用技术手段破解密码']",A,A,A,True,端点与主机安全,知识记忆,Chinese
在钓鱼攻击案例研究中，哪种技术经常被用来诱骗受害者点击恶意链接？,"['垃圾邮件过滤', 'URL缩短服务', '反恶意软件扫描', 'SSL证书验证']",B,B,B,True,端点与主机安全,知识记忆,Chinese
以下哪种安全防护策略侧重于分析程序的行为模式，以识别潜在的恶意活动？,"['逆向工程', '沙箱技术', '签名检测', '行为分析']",D,D,D,True,端点与主机安全,知识记忆,Chinese
以下哪种行为最可能导致个人计算机被病毒感染？,"['打开未知来源的电子邮件附件', '使用强密码', '安装合法软件的最新版本', '定期备份数据']",A,A,A,True,端点与主机安全,知识记忆,Chinese
在移动应用安全中，以下哪种加密算法通常用于保护用户数据的存储安全？,"['DES', 'AES', 'RSA', 'MD5']",B,B,B,True,端点与主机安全,知识记忆,Chinese
以下哪种安全软件应用最适合保护个人用户的移动设备免受恶意软件攻击？,"['企业级防火墙', '全盘加密软件', '移动设备管理（MDM）解决方案', '综合安全套件，包括防病毒和防恶意软件功能']",D,D,D,True,端点与主机安全,知识记忆,Chinese
以下哪种恶意软件类型主要通过伪装成合法软件来诱骗用户下载并安装，从而感染计算机？,"['病毒', '特洛伊木马', '蠕虫', '勒索软件']",B,B,B,True,端点与主机安全,知识记忆,Chinese
哪种技术最不适用于防止物理设备丢失或被盗后，钓鱼攻击者获取敏感信息？,"['全磁盘加密', '入侵检测系统', '端点管理系统', '身份验证技术']",B,B,B,True,端点与主机安全,逻辑推理,Chinese
以下哪种端点防护措施最有助于防止钓鱼邮件导致的恶意软件感染？,"['安装端点防护软件并定期更新', '仅使用安全浏览器实践，如不点击未知链接', '启用多因素认证以验证邮件发送者身份', '对所有电子邮件进行数据加密']",A,A,A,True,端点与主机安全,知识记忆,Chinese
在隐私保护策略中，哪种方法可以防止应用程序访问用户的敏感位置数据？,"['权限管理', '数据混淆', '反恶意软件扫描', '数据备份']",A,A,A,True,端点与主机安全,知识记忆,Chinese
以下哪种做法可以有效防止Android设备上的应用数据被窃取？,"['禁用所有应用的网络权限', '使用全磁盘加密', '定期清除应用缓存', '只安装知名应用']",B,B,B,True,端点与主机安全,知识记忆,Chinese
以下哪种技术可以确保只有经过验证的代码才能在系统上执行？,"['逆向工程', '代码混淆', '数字签名检测', '内存转储分析']",C,C,C,True,端点与主机安全,知识记忆,Chinese
